participant,participant_age,Image_ID,Image_actual_age,Image_age,Image_emotion,age_resp,age_resp_rt
711,21,O_56F,65,old,neutral,56,7.2397
711,21,O_48F,65,old,neutral,58,8.7245
711,21,O_21M,65,old,happy,60,5.8385
711,21,O_67M,61,old,neutral,50,7.5063
711,21,O_64M,65,old,neutral,53,6.2382
711,21,O_53F,64,old,neutral,48,5.3546
711,21,O_10F,60,old,angry,44,6.3575
711,21,Y_66F,26,young,happy,23,5.4899
711,21,Y_17F,33,young,angry,21,4.4029
711,21,Y_48F,23,young,happy,24,5.1707
711,21,Y_38F,24,young,angry,22,8.9081
711,21,Y_71F,20,young,neutral,20,6.5718
711,21,O_50M,65,old,happy,55,5.2702
711,21,Y_40F,28,young,happy,30,5.8546
711,21,Y_4F,19,young,happy,30,5.1537
711,21,O_40F,61,old,happy,65,4.5867
711,21,O_28F,64,old,angry,66,7.9408
711,21,O_71M,65,old,neutral,64,5.1896
711,21,Y_75M,30,young,neutral,25,6.1218
711,21,O_15M,69,old,angry,60,7.9568
711,21,Y_58M,22,young,neutral,20,3.8022
711,21,O_47F,60,old,neutral,56,4.787
711,21,O_43F,62,old,happy,60,4.9058
711,21,Y_11M,20,young,angry,20,6.1884
711,21,O_20M,65,old,angry,58,4.003
711,21,O_58M,64,old,happy,50,7.4567
711,21,Y_57M,23,young,neutral,21,3.652
711,21,Y_12F,18,young,angry,20,9.3779
711,21,Y_28M,20,young,happy,19,5.0874
711,21,O_17M,69,old,angry,57,5.8377
711,21,O_38F,65,old,happy,60,4.4892
711,21,O_23F,66,old,angry,64,10.5434
711,21,O_65M,65,old,neutral,60,6.0546
711,21,Y_27M,23,young,angry,21,3.8359
711,21,Y_1M,19,young,angry,18,5.3399
712,19,O_43F,62,old,happy,70,9.0758
712,19,O_10F,60,old,angry,47,10.1912
712,19,O_48F,65,old,neutral,53,6.1456
712,19,Y_15M,20,young,angry,30,7.0319
712,19,O_15M,69,old,angry,68,6.5199
712,19,O_65M,65,old,neutral,60,3.6835
712,19,Y_14F,21,young,angry,20,7.1357
712,19,Y_30M,25,young,happy,27,7.4999
712,19,O_58M,64,old,happy,50,140.5911
712,19,O_08M,65,old,angry,65,5.4591
712,19,O_53F,64,old,neutral,53,4.5809
712,19,Y_11M,20,young,angry,25,4.03
712,19,Y_57M,23,young,neutral,27,4.4806
712,19,Y_17F,33,young,angry,24,3.4892
712,19,O_56F,65,old,neutral,60,4.3616
712,19,O_29F,63,old,angry,58,3.811
712,19,O_21M,65,old,happy,63,5.548
712,19,Y_55M,24,young,neutral,25,12.9436
712,19,O_47F,60,old,neutral,50,4.7479
712,19,Y_28M,20,young,happy,32,6.8144
712,19,Y_27M,23,young,angry,28,8.8743
712,19,O_34F,65,old,happy,56,6.1961
712,19,Y_1M,19,young,angry,24,6.2792
712,19,O_20M,65,old,angry,64,8.47
712,19,Y_71F,20,young,neutral,23,44.4821
712,19,O_17M,69,old,angry,57,2.8885
712,19,Y_12F,18,young,angry,24,4.3999
712,19,Y_6F,23,young,neutral,23,4.0509
712,19,Y_40F,28,young,happy,34,4.3862
712,19,O_23F,66,old,angry,55,2.1283
712,19,O_28F,64,old,angry,60,3.2956
712,19,Y_54M,26,young,happy,26,2.933
712,19,Y_66F,26,young,happy,25,2.3461
712,19,O_64M,65,old,neutral,57,3.5691
712,19,Y_48F,23,young,happy,27,2.7822
712,19,O_50M,65,old,happy,58,4.8166
712,19,Y_46M,18,young,happy,33,12.574
712,19,Y_38F,24,young,angry,23,6.8831
712,19,Y_72F,25,young,neutral,34,8.0217
712,19,Y_58M,22,young,neutral,30,7.319
712,19,Y_4F,19,young,happy,26,4.8162
712,19,O_38F,65,old,happy,60,3.201
712,19,Y_75M,30,young,neutral,36,4.0998
712,19,O_42M,75,old,happy,66,3.8331
712,19,O_40F,61,old,happy,64,13.0065
712,19,O_67M,61,old,neutral,54,4.6167
712,19,O_71M,65,old,neutral,67,3.2669
712,19,Y_69F,28,young,neutral,25,3.7522
713,20,O_50M,65,old,happy,53,17.0895
713,20,Y_40F,28,young,happy,30,9.592
713,20,Y_48F,23,young,happy,26,7.3763
713,20,O_17M,69,old,angry,60,4.327
713,20,Y_1M,19,young,angry,25,13.2075
713,20,O_48F,65,old,neutral,60,5.0435
713,20,Y_71F,20,young,neutral,27,15.4898
713,20,Y_17F,33,young,angry,35,4.2606
713,20,O_28F,64,old,angry,65,7.1426
713,20,Y_75M,30,young,neutral,35,11.4912
713,20,O_43F,62,old,happy,58,3.7107
713,20,O_58M,64,old,happy,60,6.0097
713,20,O_34F,65,old,happy,60,2.8943
713,20,Y_15M,20,young,angry,30,6.7931
713,20,Y_14F,21,young,angry,20,10.775
713,20,Y_27M,23,young,angry,22,15.64
713,20,Y_72F,25,young,neutral,40,5.127
713,20,O_10F,60,old,angry,50,4.1606
713,20,Y_4F,19,young,happy,26,5.8101
713,20,O_67M,61,old,neutral,55,5.0104
713,20,O_23F,66,old,angry,60,2.9109
713,20,O_20M,65,old,angry,60,2.311
713,20,Y_55M,24,young,neutral,30,8.9925
713,20,O_71M,65,old,neutral,65,4.5605
713,20,Y_6F,23,young,neutral,24,7.7759
713,20,O_15M,69,old,angry,65,4.2773
713,20,Y_28M,20,young,happy,20,11.9914
713,20,Y_46M,18,young,happy,25,39.1985
713,20,O_65M,65,old,neutral,60,2.4779
713,20,Y_54M,26,young,happy,30,4.6103
713,20,Y_30M,25,young,happy,35,3.3938
713,20,O_21M,65,old,happy,60,3.1776
713,20,Y_69F,28,young,neutral,35,6.6433
713,20,O_42M,75,old,happy,70,2.7277
713,20,O_53F,64,old,neutral,55,7.5593
713,20,Y_11M,20,young,angry,30,30.3682
713,20,O_47F,60,old,neutral,55,4.6772
713,20,Y_12F,18,young,angry,23,6.1104
713,20,O_08M,65,old,angry,55,7.2259
713,20,Y_38F,24,young,angry,25,10.4918
713,20,O_56F,65,old,neutral,60,6.3929
713,20,Y_57M,23,young,neutral,32,8.0759
713,20,O_29F,63,old,angry,55,6.593
713,20,O_40F,61,old,happy,60,13.9073
713,20,Y_58M,22,young,neutral,23,5.2435
713,20,O_38F,65,old,happy,56,8.6256
713,20,Y_66F,26,young,happy,30,3.4944
713,20,O_64M,65,old,neutral,60,5.0435
714,22,O_42M,75,old,happy,68,3.4546
714,22,Y_12F,18,young,angry,20,6.1593
714,22,O_53F,64,old,neutral,50,3.8505
714,22,O_40F,61,old,happy,65,8.1583
714,22,Y_27M,23,young,angry,25,2.906
714,22,Y_11M,20,young,angry,18,3.3149
714,22,Y_15M,20,young,angry,30,3.1878
714,22,Y_48F,23,young,happy,28,3.598
714,22,Y_58M,22,young,neutral,25,2.6822
714,22,O_20M,65,old,angry,60,2.7041
714,22,Y_69F,28,young,neutral,24,4.1229
714,22,O_21M,65,old,happy,60,3.0369
714,22,O_64M,65,old,neutral,50,2.8622
714,22,O_08M,65,old,angry,63,2.5702
714,22,Y_30M,25,young,happy,35,2.2633
714,22,Y_66F,26,young,happy,27,3.1961
714,22,Y_46M,18,young,happy,28,3.3456
714,22,Y_72F,25,young,neutral,28,3.4209
714,22,Y_28M,20,young,happy,26,4.2348
714,22,Y_54M,26,young,happy,30,2.4758
714,22,O_67M,61,old,neutral,55,2.6903
714,22,Y_57M,23,young,neutral,30,2.3867
714,22,O_56F,65,old,neutral,60,3.2615
714,22,Y_71F,20,young,neutral,30,1.8115
714,22,Y_4F,19,young,happy,28,2.2978
714,22,Y_6F,23,young,neutral,26,3.8574
714,22,O_28F,64,old,angry,65,3.0249
714,22,Y_14F,21,young,angry,29,3.8366
714,22,O_71M,65,old,neutral,65,3.7856
714,22,O_15M,69,old,angry,65,2.244
714,22,Y_75M,30,young,neutral,30,1.555
714,22,O_58M,64,old,happy,48,3.2029
714,22,Y_40F,28,young,happy,34,1.9384
714,22,O_47F,60,old,neutral,50,3.927
714,22,Y_38F,24,young,angry,28,5.3541
714,22,Y_1M,19,young,angry,25,3.2344
714,22,Y_17F,33,young,angry,30,2.937
714,22,O_34F,65,old,happy,45,2.3153
714,22,O_10F,60,old,angry,40,2.0618
714,22,O_43F,62,old,happy,55,1.9978
714,22,O_38F,65,old,happy,50,4.4281
